CpG,Chr,Position,Nearest gene,Gene group,Mean,SD,EST (week,P (week),EST (decade),P (decade),EST (life),P (life),FDR p (week),FDR p (decade),FDR p (life),Novel,Any at 10-7,Any at FDR=0.05
cg16556677,11,2722401,KCNQ1OT1,TSS1500,0.86,0.040,-0.0013,3.1E-05,-0.0012,3.3E-05,-0.0010,3.0E-03,3.0E-03,7.9E-03,1.2E-01,,,yes
cg20627754,2,232582394,,,0.60,0.111,-0.0010,3.1E-05,-0.0004,7.1E-02,-0.0005,3.9E-02,3.0E-03,4.9E-01,3.8E-01,,,yes
cg17426766,1,2046864,PRKCZ,5'UTR,0.66,0.048,-0.0008,3.1E-05,-0.0006,3.0E-03,-0.0006,4.9E-03,3.0E-03,1.3E-01,1.5E-01,,,yes
cg03466779,4,7666141,SORCS2,Body,0.98,0.011,-0.0023,3.1E-05,-0.0017,9.2E-04,-0.0019,1.1E-03,3.0E-03,6.5E-02,6.6E-02,,,yes
cg18772838,3,155100309,,,0.75,0.056,-0.0011,3.1E-05,-0.0008,7.1E-04,-0.0008,3.1E-03,3.0E-03,5.6E-02,1.2E-01,,,yes
cg22579224,15,81243145,KIAA1199,3'UTR,0.63,0.055,-0.0009,3.1E-05,-0.0009,2.2E-06,-0.0009,3.2E-05,3.0E-03,1.2E-03,7.3E-03,,,yes
cg27615378,9,70918891,FOXD4L3,1stExon,0.37,0.048,-0.0007,3.1E-05,-0.0005,2.4E-03,-0.0007,1.8E-04,3.0E-03,1.1E-01,2.2E-02,,,yes
cg03432814,12,117037220,,,0.76,0.054,-0.0011,3.1E-05,-0.0006,2.2E-02,-0.0010,1.7E-04,3.0E-03,3.2E-01,2.1E-02,,,yes
cg07954324,8,143999330,CYP11B2,TSS200,0.66,0.062,-0.0010,3.1E-05,-0.0008,1.4E-04,-0.0012,2.7E-07,3.0E-03,2.0E-02,2.6E-04,,,yes
cg15356502,X,133509972,PHF6,5'UTR,0.79,0.134,-0.0013,3.1E-05,-0.0009,1.6E-03,-0.0017,5.8E-07,3.0E-03,9.0E-02,4.5E-04,,,yes
cg23733845,7,101936527,SH2B2,Body,0.69,0.079,-0.0015,3.1E-05,-0.0013,1.8E-04,-0.0014,2.6E-04,3.0E-03,2.4E-02,2.8E-02,,,yes
cg02832512,6,22113516,FLJ22536,Body,0.57,0.105,-0.0008,3.1E-05,-0.0005,2.1E-03,-0.0006,1.4E-03,3.1E-03,1.0E-01,7.5E-02,,,yes
cg02558132,3,123411198,MYLK,Body,0.78,0.037,-0.0009,3.1E-05,-0.0005,6.0E-03,-0.0005,3.5E-02,3.1E-03,1.8E-01,3.7E-01,,,yes
cg22098511,17,79476521,,,0.15,0.039,-0.0011,3.1E-05,-0.0009,2.1E-04,-0.0009,1.8E-03,3.1E-03,2.6E-02,8.8E-02,,,yes
cg00155879,10,26222849,MYO3A,TSS200,0.37,0.052,-0.0009,3.1E-05,-0.0003,1.4E-01,-0.0005,2.3E-02,3.1E-03,6.1E-01,3.1E-01,,,yes
cg24397007,2,28619094,FOSL2,Body,0.67,0.066,-0.0010,3.1E-05,-0.0009,1.0E-04,-0.0009,6.7E-04,3.1E-03,1.7E-02,5.0E-02,,,yes
cg09485853,15,72495878,PKM2,Body,0.52,0.095,-0.0006,3.1E-05,-0.0004,1.0E-02,-0.0004,8.0E-03,3.1E-03,2.3E-01,1.9E-01,,,yes
cg07651048,12,49735444,,,0.86,0.030,-0.0010,3.1E-05,-0.0005,2.4E-02,-0.0003,1.7E-01,3.1E-03,3.2E-01,6.5E-01,,,yes
cg26567688,5,74762295,COL4A3BP,Body,0.59,0.056,-0.0009,3.1E-05,-0.0007,1.0E-03,-0.0006,5.4E-03,3.1E-03,6.9E-02,1.6E-01,,,yes
cg11878712,2,135018453,MGAT5,Body,0.79,0.054,-0.0010,3.1E-05,-0.0007,1.9E-03,-0.0007,3.9E-03,3.1E-03,9.7E-02,1.3E-01,,,yes
cg04710179,4,37891376,TBC1D1,TSS1500,0.71,0.061,-0.0008,3.1E-05,-0.0007,5.7E-05,-0.0007,6.0E-04,3.1E-03,1.1E-02,4.7E-02,,,yes
cg06848762,11,64126340,RPS6KA4,TSS1500,0.12,0.025,-0.0010,3.1E-05,-0.0004,5.7E-02,-0.0006,9.4E-03,3.1E-03,4.5E-01,2.1E-01,,,yes
cg23571857,17,6658898,XAF1,TSS1500,0.65,0.064,-0.0009,3.1E-05,-0.0004,2.6E-02,-0.0005,2.0E-02,3.1E-03,3.4E-01,2.9E-01,,,yes
cg11507793,6,29856363,HLA-H,Body,0.19,0.057,-0.0015,3.1E-05,-0.0009,5.3E-03,-0.0011,3.3E-03,3.1E-03,1.7E-01,1.2E-01,,,yes
cg04472726,8,41386353,GINS4,TSS1500,0.21,0.047,-0.0011,3.1E-05,-0.0006,1.8E-02,-0.0006,4.7E-02,3.1E-03,2.9E-01,4.2E-01,,,yes
cg07250462,5,138853821,,,0.73,0.048,-0.0010,3.1E-05,-0.0007,8.8E-04,-0.0009,2.0E-04,3.1E-03,6.3E-02,2.3E-02,,,yes
cg26690127,2,37545602,PRKD3,TSS1500,0.83,0.049,-0.0010,3.1E-05,-0.0008,1.1E-03,-0.0006,1.8E-02,3.1E-03,7.0E-02,2.8E-01,,,yes
cg20141108,1,165907859,,,0.57,0.126,-0.0010,3.1E-05,-0.0006,5.8E-03,-0.0004,9.2E-02,3.1E-03,1.7E-01,5.3E-01,,,yes
cg21334513,6,30095248,,,0.57,0.096,-0.0016,3.1E-05,-0.0014,1.3E-04,-0.0015,2.7E-04,3.1E-03,1.9E-02,2.8E-02,,,yes
cg13492803,15,32933783,SCG5,TSS200,0.44,0.066,-0.0009,3.1E-05,-0.0006,2.7E-03,-0.0005,1.2E-02,3.1E-03,1.2E-01,2.3E-01,,,yes
cg25551168,20,3065343,AVP,5'UTR,0.40,0.052,-0.0007,3.1E-05,-0.0006,1.7E-04,-0.0005,1.7E-03,3.1E-03,2.3E-02,8.6E-02,,,yes
cg08738280,1,168197198,SFT2D2,Body,0.81,0.051,-0.0009,3.1E-05,-0.0008,3.3E-04,-0.0008,3.5E-04,3.1E-03,3.5E-02,3.3E-02,,,yes
cg07915117,1,32421131,,,0.87,0.043,-0.0015,3.1E-05,-0.0012,1.8E-04,-0.0015,8.4E-05,3.1E-03,2.3E-02,1.4E-02,,,yes
cg24056567,8,18871909,PSD3,TSS1500,0.26,0.057,-0.0011,3.1E-05,-0.0010,3.0E-05,-0.0011,3.6E-05,3.1E-03,7.4E-03,7.9E-03,,,yes
cg03099790,16,56456455,AMFR,Body,0.82,0.041,-0.0007,3.1E-05,-0.0005,3.1E-03,-0.0004,2.6E-02,3.1E-03,1.3E-01,3.3E-01,,,yes
cg15581269,2,88650618,,,0.23,0.057,-0.0011,3.1E-05,-0.0006,9.1E-03,-0.0009,9.4E-04,3.1E-03,2.2E-01,6.1E-02,,,yes
cg12206846,1,19292493,,,0.63,0.056,-0.0008,3.1E-05,-0.0007,4.1E-05,-0.0008,4.0E-05,3.1E-03,9.1E-03,8.5E-03,,,yes
cg07533239,12,6422131,PLEKHG6,1stExon,0.64,0.097,-0.0009,3.1E-05,-0.0007,4.1E-04,-0.0006,1.1E-02,3.1E-03,4.0E-02,2.2E-01,,,yes
cg17478749,6,31589365,SNORA38,TSS1500,0.27,0.066,-0.0014,3.1E-05,-0.0009,7.2E-03,-0.0012,9.8E-04,3.1E-03,1.9E-01,6.2E-02,,,yes
cg18884368,20,31331841,COMMD7,TSS200,0.06,0.023,-0.0016,3.1E-05,-0.0011,2.3E-03,-0.0004,3.4E-01,3.1E-03,1.1E-01,7.9E-01,,,yes
cg08411860,3,183959746,VWA5B2,Body,0.50,0.057,-0.0009,3.1E-05,-0.0006,6.9E-03,-0.0008,9.8E-04,3.1E-03,1.9E-01,6.2E-02,,,yes
cg07160602,15,99196841,IGF1R,Body,0.77,0.071,-0.0010,3.1E-05,-0.0006,1.4E-02,-0.0006,1.5E-02,3.1E-03,2.6E-01,2.6E-01,,,yes
cg20515136,3,159707145,IL12A,Body,0.38,0.068,-0.0009,3.1E-05,-0.0005,1.1E-02,-0.0006,1.4E-02,3.1E-03,2.3E-01,2.5E-01,,,yes
cg00849642,12,109106495,CORO1C,5'UTR,0.63,0.056,-0.0007,3.1E-05,-0.0006,1.3E-04,-0.0005,7.0E-03,3.1E-03,1.9E-02,1.8E-01,,,yes
cg10486610,20,61298677,LOC100127888,TSS1500,0.53,0.067,0.0008,3.1E-05,0.0005,1.6E-03,0.0005,9.7E-03,3.1E-03,8.8E-02,2.1E-01,,,yes
cg25318364,1,147719101,,,0.52,0.062,-0.0008,3.1E-05,-0.0007,9.8E-05,-0.0006,2.6E-03,3.1E-03,1.6E-02,1.1E-01,,,yes
cg26902127,16,88513285,,,0.95,0.019,-0.0018,3.1E-05,-0.0013,2.0E-03,-0.0019,2.1E-05,3.1E-03,1.0E-01,5.5E-03,,,yes
cg21440776,12,6658378,IFFO1,Body,0.50,0.146,-0.0017,3.2E-05,-0.0011,4.4E-03,-0.0013,3.3E-03,3.1E-03,1.5E-01,1.2E-01,,,yes
cg01005506,10,64565768,ADO,3'UTR,0.33,0.066,-0.0012,3.2E-05,-0.0007,5.8E-03,-0.0010,3.9E-04,3.1E-03,1.7E-01,3.6E-02,,,yes
cg04826413,12,129279936,SLC15A4,Body,0.88,0.049,-0.0013,3.2E-05,-0.0008,3.8E-03,-0.0008,1.4E-02,3.1E-03,1.4E-01,2.5E-01,,,yes
cg25773262,1,156616855,BCAN,Body,0.42,0.061,-0.0009,3.2E-05,-0.0006,2.2E-03,-0.0009,9.5E-05,3.1E-03,1.1E-01,1.5E-02,,,yes
cg24338780,1,174968123,CACYBP,TSS1500,0.22,0.044,-0.0010,3.2E-05,-0.0009,1.2E-04,-0.0010,7.8E-05,3.1E-03,1.8E-02,1.3E-02,,,yes
cg02484562,15,78359471,TBC1D2B,Body,0.87,0.034,-0.0010,3.2E-05,-0.0010,1.9E-05,-0.0010,7.4E-05,3.1E-03,5.4E-03,1.3E-02,,,yes
cg22933058,1,43472972,,,0.59,0.079,-0.0014,3.2E-05,-0.0009,2.5E-03,-0.0011,1.4E-03,3.1E-03,1.1E-01,7.5E-02,,,yes
cg15164180,2,241846931,,,0.68,0.045,-0.0008,3.2E-05,-0.0004,1.2E-02,-0.0004,2.9E-02,3.1E-03,2.4E-01,3.4E-01,,,yes
cg24699296,19,7747220,TRAPPC5,Body,0.83,0.069,-0.0019,3.2E-05,-0.0014,7.5E-04,-0.0018,2.0E-04,3.1E-03,5.7E-02,2.3E-02,,,yes
cg10051935,19,58740549,ZNF544,5'UTR,0.10,0.034,-0.0015,3.2E-05,-0.0013,1.2E-04,-0.0010,1.0E-02,3.1E-03,1.9E-02,2.1E-01,,,yes
cg01084435,16,58535556,NDRG4,Body,0.27,0.060,-0.0010,3.2E-05,-0.0006,6.6E-03,-0.0005,4.0E-02,3.1E-03,1.9E-01,3.9E-01,,,yes
cg06194602,17,61997056,GH1,TSS1500,0.89,0.032,-0.0011,3.2E-05,-0.0005,5.3E-02,-0.0004,1.8E-01,3.1E-03,4.4E-01,6.6E-01,,,yes
cg00750518,12,57940139,DCTN2,Body,0.71,0.081,-0.0010,3.2E-05,-0.0008,2.6E-04,-0.0009,1.6E-04,3.1E-03,3.0E-02,2.0E-02,,,yes
cg21239940,8,68870412,PREX2,Body,0.87,0.039,-0.0012,3.2E-05,-0.0008,5.9E-03,-0.0010,1.5E-03,3.1E-03,1.8E-01,7.8E-02,,,yes
cg13750802,13,41055185,LOC646982,TSS200,0.85,0.044,-0.0011,3.2E-05,-0.0008,6.8E-04,-0.0011,5.4E-05,3.1E-03,5.5E-02,1.0E-02,,,yes
cg16795184,16,56777257,NUP93,5'UTR,0.65,0.092,-0.0008,3.2E-05,-0.0007,2.2E-04,-0.0006,7.5E-03,3.1E-03,2.6E-02,1.8E-01,,,yes
cg01940297,8,129061191,MIR1207,TSS1500,0.83,0.067,-0.0019,3.2E-05,-0.0015,3.0E-04,-0.0014,4.3E-03,3.1E-03,3.3E-02,1.4E-01,,,yes
cg26601073,17,1614268,TLCD2,TSS1500,0.27,0.079,-0.0012,3.2E-05,-0.0010,2.3E-04,-0.0011,3.7E-04,3.1E-03,2.7E-02,3.5E-02,,,yes
cg19087971,7,751233,PRKAR1B,5'UTR,0.73,0.064,-0.0012,3.2E-05,-0.0012,8.0E-06,-0.0011,5.0E-04,3.1E-03,3.0E-03,4.2E-02,,,yes
cg15605746,15,52584919,MYO5C,Body,0.87,0.043,-0.0013,3.2E-05,-0.0010,3.7E-04,-0.0009,6.2E-03,3.1E-03,3.7E-02,1.7E-01,,,yes
cg21112099,6,75912633,COL12A1,5'UTR,0.34,0.049,-0.0009,3.2E-05,-0.0005,1.8E-02,-0.0007,2.9E-03,3.1E-03,2.9E-01,1.1E-01,,,yes
cg04708601,6,101880078,GRIK2,Body,0.60,0.086,-0.0011,3.2E-05,-0.0008,1.9E-03,-0.0008,2.4E-03,3.1E-03,9.7E-02,1.0E-01,,,yes
cg09641325,7,134157797,,,0.81,0.038,-0.0010,3.2E-05,-0.0006,7.7E-03,-0.0007,7.8E-03,3.1E-03,2.0E-01,1.9E-01,,,yes
cg09294084,13,113646732,MCF2L,Body,0.48,0.096,-0.0012,3.2E-05,-0.0008,2.3E-03,-0.0010,6.9E-04,3.1E-03,1.1E-01,5.1E-02,,,yes
cg02675179,16,20686073,ACSM1,Body,0.54,0.072,-0.0006,3.2E-05,-0.0004,1.8E-03,-0.0004,5.7E-03,3.1E-03,9.5E-02,1.6E-01,,,yes
cg01151584,11,64627528,EHD1,Body,0.55,0.071,-0.0010,3.2E-05,-0.0005,2.3E-02,-0.0004,1.1E-01,3.1E-03,3.2E-01,5.6E-01,,,yes
cg27517681,1,119528848,TBX15,5'UTR,0.32,0.072,-0.0013,3.2E-05,-0.0007,1.8E-02,-0.0005,8.5E-02,3.1E-03,2.9E-01,5.2E-01,,,yes
cg12048225,6,32808669,PSMB8,3'UTR,0.39,0.093,-0.0014,3.2E-05,-0.0012,3.7E-05,-0.0013,1.7E-04,3.1E-03,8.5E-03,2.1E-02,,,yes
cg04284140,7,44163975,POLD2,TSS1500,0.59,0.084,-0.0011,3.2E-05,-0.0007,4.0E-03,-0.0005,8.9E-02,3.1E-03,1.4E-01,5.2E-01,,,yes
cg15466245,1,155028224,ADAM15,Body,0.89,0.026,-0.0009,3.2E-05,-0.0004,2.4E-02,-0.0003,2.0E-01,3.1E-03,3.2E-01,6.8E-01,,,yes
cg24542766,22,39713532,RPL3,Body,0.50,0.040,-0.0006,3.2E-05,-0.0003,1.1E-02,-0.0004,2.5E-03,3.1E-03,2.3E-01,1.0E-01,,,yes
cg12756527,10,11284548,CUGBP2,Body,0.70,0.092,-0.0011,3.2E-05,-0.0009,5.2E-04,-0.0006,3.8E-02,3.1E-03,4.6E-02,3.8E-01,,,yes
cg27057027,7,27243276,,,0.34,0.072,-0.0011,3.2E-05,-0.0009,5.1E-04,-0.0008,7.3E-03,3.1E-03,4.6E-02,1.8E-01,,,yes
cg20460166,1,54423202,LRRC42,Body,0.78,0.050,-0.0009,3.2E-05,-0.0008,1.0E-04,-0.0006,9.3E-03,3.1E-03,1.6E-02,2.0E-01,,,yes
cg12260435,2,202484156,ALS2CR11,TSS1500,0.76,0.043,-0.0009,3.2E-05,-0.0007,5.0E-04,-0.0006,5.2E-03,3.1E-03,4.5E-02,1.5E-01,,,yes
cg01223400,5,180235800,MGAT1,5'UTR,0.59,0.083,-0.0014,3.2E-05,-0.0008,1.5E-02,-0.0012,1.1E-03,3.1E-03,2.7E-01,6.7E-02,,,yes
cg27166581,1,155044322,,,0.44,0.106,-0.0012,3.2E-05,-0.0006,2.2E-02,-0.0003,3.4E-01,3.1E-03,3.1E-01,7.9E-01,,,yes
cg14320320,3,16577787,,,0.81,0.058,-0.0015,3.2E-05,-0.0009,8.1E-03,-0.0010,7.5E-03,3.1E-03,2.0E-01,1.8E-01,,,yes
cg26572811,17,14206901,HS3ST3B1,Body,0.37,0.063,-0.0011,3.2E-05,-0.0007,6.9E-03,-0.0010,4.0E-04,3.1E-03,1.9E-01,3.7E-02,,,yes
cg23548623,8,43136162,,,0.09,0.038,-0.0017,3.2E-05,-0.0011,4.0E-03,-0.0012,7.2E-03,3.2E-03,1.4E-01,1.8E-01,,,yes
cg16060330,2,173369204,ITGA6,3'UTR,0.92,0.037,-0.0024,3.2E-05,-0.0016,2.7E-03,-0.0016,7.6E-03,3.2E-03,1.2E-01,1.9E-01,,,yes
cg01115380,6,1552904,,,0.54,0.086,-0.0015,3.2E-05,-0.0009,7.9E-03,-0.0011,3.5E-03,3.2E-03,2.0E-01,1.3E-01,,,yes
cg13276570,5,10567643,ANKRD33B,Body,0.90,0.045,-0.0017,3.2E-05,-0.0017,1.3E-05,-0.0010,2.0E-02,3.2E-03,4.1E-03,2.9E-01,,,yes
cg05530612,10,125618545,CPXM2,Body,0.71,0.053,-0.0008,3.2E-05,-0.0008,9.9E-06,-0.0006,4.8E-03,3.2E-03,3.4E-03,1.5E-01,,,yes
cg16565528,8,91010920,,,0.67,0.085,-0.0009,3.2E-05,-0.0008,1.0E-04,-0.0006,6.0E-03,3.2E-03,1.6E-02,1.6E-01,,,yes
cg00130530,6,35657202,FKBP5,5'UTR,0.67,0.055,-0.0009,3.2E-05,-0.0006,1.9E-03,-0.0010,1.8E-05,3.2E-03,9.9E-02,4.9E-03,,,yes
cg14547726,6,116832794,FAM26E,TSS200,0.86,0.044,-0.0016,3.2E-05,-0.0008,2.2E-02,-0.0005,2.2E-01,3.2E-03,3.2E-01,7.0E-01,,,yes
cg20723412,4,6927635,TBC1D14,Body,0.69,0.050,-0.0009,3.3E-05,-0.0007,8.5E-04,-0.0007,4.0E-03,3.2E-03,6.2E-02,1.3E-01,,,yes
cg19137806,10,134362170,INPP5A,Body,0.60,0.072,-0.0009,3.3E-05,-0.0008,5.9E-05,-0.0003,1.5E-01,3.2E-03,1.2E-02,6.2E-01,,,yes
cg04277125,14,22309073,,,0.42,0.098,-0.0018,3.3E-05,-0.0010,1.1E-02,-0.0015,5.1E-04,3.2E-03,2.3E-01,4.2E-02,,,yes
cg03539789,2,223167170,CCDC140,5'UTR,0.46,0.071,-0.0012,3.3E-05,-0.0008,1.6E-03,-0.0008,5.2E-03,3.2E-03,8.8E-02,1.5E-01,,,yes
cg15305521,6,132931714,TAAR3,TSS1500,0.75,0.053,-0.0010,3.3E-05,-0.0008,4.1E-04,-0.0009,3.1E-04,3.2E-03,4.0E-02,3.1E-02,,,yes
cg21722785,17,8127367,C17orf44,TSS200,0.77,0.056,-0.0012,3.3E-05,-0.0008,1.6E-03,-0.0012,6.1E-05,3.2E-03,9.0E-02,1.1E-02,,,yes
cg09871637,1,87800511,LMO4,Body,0.39,0.072,-0.0012,3.3E-05,-0.0007,5.9E-03,-0.0011,2.4E-04,3.2E-03,1.8E-01,2.7E-02,,,yes
cg27583138,6,24774877,GMNN,TSS1500,0.57,0.092,-0.0016,3.3E-05,-0.0010,6.0E-03,-0.0008,3.1E-02,3.2E-03,1.8E-01,3.5E-01,,,yes
cg01012879,1,244613363,ADSS,Body,0.68,0.102,-0.0010,3.3E-05,-0.0006,1.0E-02,-0.0007,6.0E-03,3.2E-03,2.2E-01,1.6E-01,,,yes
cg03376308,10,3497811,,,0.48,0.088,-0.0008,3.3E-05,-0.0006,1.0E-03,-0.0007,1.5E-04,3.2E-03,6.9E-02,2.0E-02,,,yes
cg20652404,15,74218904,LOXL1,5'UTR,0.55,0.068,-0.0008,3.3E-05,-0.0007,1.1E-04,-0.0005,8.2E-03,3.2E-03,1.7E-02,1.9E-01,,,yes
cg03917803,13,44947247,SERP2,TSS1500,0.62,0.061,-0.0007,3.3E-05,-0.0006,3.1E-04,-0.0005,3.6E-03,3.2E-03,3.4E-02,1.3E-01,,,yes
cg25897519,8,41427415,,,0.64,0.099,-0.0011,3.3E-05,-0.0009,1.1E-04,-0.0004,1.7E-01,3.2E-03,1.8E-02,6.5E-01,,,yes
cg26045043,18,74535969,ZNF236,TSS200,0.53,0.058,-0.0009,3.3E-05,-0.0005,4.7E-03,-0.0006,2.5E-03,3.2E-03,1.6E-01,1.1E-01,,,yes
cg15543566,4,87515467,PTPN13,5'UTR,0.12,0.069,-0.0021,3.3E-05,-0.0014,2.4E-03,-0.0020,1.2E-04,3.2E-03,1.1E-01,1.7E-02,,,yes
cg27022853,3,196377815,LRRC33,5'UTR,0.66,0.086,-0.0012,3.3E-05,-0.0011,2.8E-05,-0.0009,2.2E-03,3.2E-03,7.1E-03,9.9E-02,,,yes
cg08806632,19,13214412,LYL1,TSS1500,0.30,0.095,-0.0012,3.3E-05,-0.0008,2.1E-03,-0.0012,8.4E-05,3.2E-03,1.0E-01,1.4E-02,,,yes
cg21846970,17,5113924,C17orf87,3'UTR,0.95,0.032,-0.0014,3.3E-05,-0.0012,1.3E-04,-0.0010,4.2E-03,3.2E-03,1.9E-02,1.4E-01,,,yes
cg05471495,2,101369330,,,0.26,0.074,-0.0016,3.3E-05,-0.0010,6.0E-03,-0.0010,1.1E-02,3.2E-03,1.8E-01,2.3E-01,,,yes
cg11294513,19,58220295,ZNF154,Body,0.18,0.068,-0.0019,3.3E-05,-0.0016,8.9E-05,-0.0020,1.9E-05,3.2E-03,1.5E-02,5.2E-03,,,yes
cg24312985,1,6684957,THAP3,TSS1500,0.69,0.060,-0.0011,3.3E-05,-0.0011,3.9E-06,-0.0009,9.9E-04,3.2E-03,1.8E-03,6.3E-02,,,yes
cg14142087,9,110479859,,,0.55,0.051,0.0008,3.3E-05,0.0008,2.1E-05,0.0008,1.8E-04,3.2E-03,5.8E-03,2.2E-02,,,yes
cg14560670,15,69860750,LOC145837,Body,0.56,0.075,-0.0011,3.3E-05,-0.0007,2.4E-03,-0.0008,1.8E-03,3.2E-03,1.1E-01,8.8E-02,,,yes
cg03159409,12,124779144,FAM101A,5'UTR,0.74,0.071,-0.0014,3.3E-05,-0.0011,1.0E-03,-0.0013,3.2E-04,3.2E-03,6.7E-02,3.2E-02,,,yes
cg14962509,1,36039655,TFAP2E,Body,0.95,0.037,-0.0028,3.3E-05,-0.0019,3.3E-03,-0.0025,3.5E-04,3.2E-03,1.3E-01,3.3E-02,,,yes
cg18021902,1,3567119,WDR8,TSS1500,0.34,0.113,-0.0021,3.3E-05,-0.0015,1.9E-03,-0.0014,7.1E-03,3.2E-03,9.7E-02,1.8E-01,,,yes
cg03891268,3,195920019,,,0.79,0.068,-0.0014,3.3E-05,-0.0011,2.6E-04,-0.0010,2.9E-03,3.2E-03,3.0E-02,1.1E-01,,,yes
cg19697725,17,8198295,SLC25A35,TSS200,0.36,0.034,-0.0006,3.3E-05,-0.0005,1.4E-04,-0.0006,6.5E-05,3.2E-03,2.0E-02,1.2E-02,,,yes
cg22835712,2,102737379,,,0.84,0.048,-0.0014,3.3E-05,-0.0010,6.6E-04,-0.0007,3.9E-02,3.2E-03,5.3E-02,3.9E-01,,,yes
cg26597727,19,6482062,DENND1C,TSS1500,0.07,0.025,-0.0013,3.3E-05,-0.0010,1.0E-03,-0.0011,6.3E-04,3.2E-03,6.7E-02,4.8E-02,,,yes
cg25782293,7,158221401,PTPRN2,Body,0.56,0.079,-0.0009,3.3E-05,-0.0006,3.9E-03,-0.0006,5.0E-03,3.2E-03,1.4E-01,1.5E-01,,,yes
cg02111865,2,30371990,YPEL5,5'UTR,0.56,0.118,-0.0010,3.3E-05,-0.0005,3.0E-02,-0.0009,2.5E-04,3.2E-03,3.6E-01,2.7E-02,,,yes
cg15240733,12,52258691,,,0.71,0.040,-0.0007,3.3E-05,-0.0006,1.6E-04,-0.0007,2.8E-04,3.2E-03,2.2E-02,2.9E-02,,,yes
cg05376267,1,226075388,LEFTY1,Body,0.42,0.048,-0.0008,3.3E-05,-0.0005,2.2E-03,-0.0006,1.9E-03,3.2E-03,1.1E-01,9.2E-02,,,yes
cg18809074,12,29394828,FAR2,5'UTR,0.79,0.051,-0.0010,3.3E-05,-0.0010,1.5E-05,-0.0007,4.0E-03,3.2E-03,4.7E-03,1.3E-01,,,yes
cg16517298,1,230413174,GALNT2,Body,0.59,0.081,-0.0013,3.3E-05,-0.0013,1.8E-05,-0.0012,3.0E-04,3.2E-03,5.2E-03,3.0E-02,,,yes
cg12957986,1,111061829,KCNA10,TSS200,0.68,0.062,-0.0010,3.3E-05,-0.0007,5.8E-04,-0.0010,1.9E-05,3.2E-03,4.9E-02,5.2E-03,,,yes
cg08707476,1,109099375,,,0.63,0.068,-0.0010,3.3E-05,-0.0006,5.4E-03,-0.0008,1.2E-03,3.2E-03,1.7E-01,7.0E-02,,,yes
cg18348274,7,66389009,C7orf42,5'UTR,0.89,0.025,-0.0010,3.3E-05,-0.0007,2.4E-03,-0.0008,2.4E-03,3.2E-03,1.1E-01,1.0E-01,,,yes
cg24539090,1,158978504,IFI16,TSS1500,0.76,0.071,-0.0009,3.3E-05,-0.0007,8.3E-04,-0.0006,4.9E-03,3.2E-03,6.1E-02,1.5E-01,,,yes
cg04903159,6,44202699,,,0.68,0.065,-0.0010,3.4E-05,-0.0006,4.8E-03,-0.0007,4.9E-03,3.2E-03,1.6E-01,1.5E-01,,,yes
cg25750004,17,77962682,TBC1D16,Body,0.81,0.037,-0.0008,3.4E-05,-0.0005,9.6E-03,-0.0006,4.1E-03,3.2E-03,2.2E-01,1.4E-01,,,yes
cg19478079,17,79453653,,,0.82,0.043,-0.0012,3.4E-05,-0.0011,5.1E-05,-0.0015,1.1E-06,3.2E-03,1.0E-02,7.2E-04,,,yes
cg09397087,11,6273537,,,0.82,0.037,-0.0010,3.4E-05,-0.0007,9.9E-04,-0.0007,3.8E-03,3.2E-03,6.7E-02,1.3E-01,,,yes
cg18942298,20,42809578,JPH2,Body,0.55,0.068,-0.0011,3.4E-05,-0.0008,1.9E-03,-0.0012,1.8E-05,3.2E-03,9.9E-02,5.0E-03,,,yes
cg06086933,1,100326491,AGL,TSS1500,0.89,0.046,-0.0020,3.4E-05,-0.0013,3.7E-03,-0.0011,2.7E-02,3.2E-03,1.4E-01,3.3E-01,,,yes
cg17220749,1,230249292,GALNT2,Body,0.79,0.050,-0.0009,3.4E-05,-0.0007,2.8E-04,-0.0004,7.5E-02,3.2E-03,3.1E-02,4.9E-01,,,yes
cg03531687,3,25638551,RARB,3'UTR,0.83,0.049,-0.0012,3.4E-05,-0.0010,2.3E-04,-0.0006,4.8E-02,3.2E-03,2.7E-02,4.2E-01,,,yes
cg05280806,17,79366205,,,0.62,0.071,-0.0010,3.4E-05,-0.0010,6.7E-06,-0.0011,3.8E-06,3.2E-03,2.6E-03,1.7E-03,,,yes
cg08405587,6,33043138,HLA-DPB1,TSS1500,0.66,0.054,-0.0009,3.4E-05,-0.0005,7.0E-03,-0.0006,4.4E-03,3.3E-03,1.9E-01,1.4E-01,,,yes
cg02613034,3,43775598,,,0.93,0.018,-0.0011,3.4E-05,-0.0007,4.0E-03,-0.0009,1.7E-03,3.3E-03,1.4E-01,8.4E-02,,,yes
cg17344040,11,64626220,EHD1,Body,0.09,0.041,-0.0019,3.4E-05,-0.0013,1.7E-03,-0.0011,1.8E-02,3.3E-03,9.1E-02,2.8E-01,,,yes
cg17379860,11,61159602,TMEM216,TSS1500,0.42,0.068,-0.0012,3.4E-05,-0.0007,8.7E-03,-0.0004,1.5E-01,3.3E-03,2.1E-01,6.2E-01,,,yes
cg17213060,3,45077881,,,0.26,0.080,-0.0018,3.4E-05,-0.0015,2.7E-04,-0.0022,9.6E-07,3.3E-03,3.1E-02,6.4E-04,,,yes
